cs_br_concentration,pb_br2_concentration,temperature,oa_concentration,oam_concentration,reaction_time,supersaturation,nucleation_rate,growth_rate,solvent_effect,prob_3d,prob_0d,prob_2d
3.0,1.2628515,182.03757,1.0077373,1.2776548,30.598343,1.0108398,1654952700.0,92.00541,1.0,-0.1803015023469925,0.14001481235027313,0.0
0.9587761,0.9214845,147.54541,0.6397717,1.0639839,6.499779,0.21152893,102319400.0,15.605062,1.0,0.4022332727909088,0.0,0.0
1.5195242,1.1263218,148.58112,0.6755747,1.5,31.635656,0.41120583,382682800.0,30.54871,1.0,0.2740441858768463,0.0,0.0
1.3896308,0.24039628,157.95062,0.3637625,0.24227256,10.932905,0.08278972,14124787.0,6.538344,1.0,-1.6542317867279053,0.9271178245544434,0.0
2.34984,2.0,195.29074,1.2888651,0.4192105,4.2403584,1.3016996,2403724300.0,127.10494,1.0,0.4153900742530823,0.0,0.0
3.0,2.0,170.97632,0.8480623,1.1100726,17.502924,1.5490642,4341083000.0,132.42665,1.0,0.23027323186397552,0.0,0.0
2.455799,0.8653998,176.8712,0.5047879,0.74254596,4.1083107,0.5585102,532010700.0,49.392185,1.0,-0.3945436477661133,0.23018582165241241,0.0
0.9525883,1.0215896,198.6782,0.68660766,1.0294176,14.943303,0.2720365,101485940.0,27.02386,1.0,0.4750235378742218,0.0,0.015170346014201641
1.0437875,0.7772885,170.9349,1.2344917,0.74755216,54.448303,0.20943904,79387920.0,17.90022,1.0,0.3025967478752136,0.0,0.0
0.8215027,1.3154088,157.12581,0.48125395,1.5,28.466448,0.26709,148226740.0,20.983366,1.0,0.2723570764064789,0.0,0.08182906359434128
1.0427823,0.91357565,153.98387,0.43617457,0.27698302,8.0523205,0.23305634,116460430.0,17.943459,1.0,0.36966586112976074,0.0,0.0
1.9323747,2.0,167.34163,0.64234704,0.69483143,18.859236,0.98670423,1826495000.0,82.55835,1.0,0.4387769103050232,0.0,0.005394000094383955
1.1668518,1.0786749,132.45578,1.5,1.0450345,2.0786166,0.285742,217120110.0,18.924091,1.0,0.36047831177711487,0.0,0.0
2.1145895,0.93006593,112.6739,1.1783329,0.8949892,40.420097,0.41380143,554941760.0,23.31231,1.0,-0.0978524386882782,0.24996283650398254,0.0
3.0,1.2666657,180.72885,0.82490385,0.38896424,10.496567,1.0100377,1674093400.0,91.27148,1.0,-0.17601647973060608,0.14154502749443054,0.0
1.7054917,1.9921321,125.35454,1.5,0.8702907,47.926952,0.75120896,1611067100.0,47.083725,1.0,0.3253552317619324,0.0,0.013451819308102131
1.8919785,1.9791571,132.07716,0.3007298,0.96841824,6.157118,0.8489119,1923629000.0,56.060936,1.0,0.37463831901550293,0.0,0.0042346166446805
1.9148438,0.22189431,133.82462,0.6680265,1.1133828,56.24732,0.096942246,24650928.0,6.4866295,1.0,-2.6185624599456787,1.9488846063613892,0.0
1.2124183,1.2955786,157.1491,0.9629797,1.1734594,57.022186,0.3882728,313172830.0,30.508358,1.0,0.4081502854824066,0.0,0.009338272735476494
1.5310557,1.2684649,153.81941,0.8421383,0.486271,28.186165,0.47485024,484266080.0,36.52059,1.0,0.34119752049446106,0.0,0.0
2.0953422,0.7766307,145.67102,1.3193139,0.40944496,37.80653,0.3871289,349196540.0,28.19673,1.0,-0.2902872562408447,0.2940826416015625,0.0
2.986567,2.0,126.03439,0.89120454,1.067781,51.25938,1.3240719,4971217400.0,83.4393,1.0,0.1931791752576828,0.0,0.0
0.9951533,2.0,114.95178,0.9306147,1.5,23.130707,0.42261553,565798400.0,24.290205,1.0,0.1799633502960205,0.0,0.06228041276335716
3.0,0.7106017,135.96469,1.2047572,0.730015,28.81987,0.4901603,616863500.0,33.322247,1.0,-0.8859575986862183,0.730302095413208,0.0
1.937266,0.6181683,139.87567,1.1112847,1.5,27.334352,0.27921057,192482560.0,19.527382,1.0,-0.45997354388237,0.42336487770080566,0.0
1.5198355,0.89157504,179.16548,0.4298257,0.3181622,38.4129,0.35852534,214256450.0,32.117683,1.0,0.1402842104434967,0.03411116078495979,0.0
1.3520694,0.92869043,109.23512,0.6478694,0.50929654,20.37693,0.26051602,227649540.0,14.228749,1.0,0.19130505621433258,0.0,0.0
1.8748649,1.9892861,130.59137,0.6312488,0.80939364,23.9204,0.840933,1915894900.0,54.909298,1.0,0.3668881058692932,0.0,0.005448597948998213
1.0047071,0.43428293,203.42912,0.3542075,1.0731848,55.564327,0.123531,19955858.0,12.564901,1.0,-0.16232767701148987,0.08914051204919815,0.0
2.763867,1.1202507,149.84647,0.93174857,0.8564148,23.914564,0.7470922,1247307100.0,55.974564,1.0,-0.19774040579795837,0.22792258858680725,0.0
1.0198337,1.6011411,113.99806,1.209411,0.4199845,10.5097685,0.34540334,381562600.0,19.687656,1.0,0.22929687798023224,0.0,0.03419818356633186
1.6865802,0.9762293,172.3024,1.5,0.81136817,15.5346775,0.42680317,325203680.0,36.769604,1.0,0.12606830894947052,0.041618045419454575,0.0
1.291746,0.8128985,116.398,0.51235974,0.73632646,6.6522655,0.2242525,157023460.0,13.051272,1.0,0.14967672526836395,0.027997273951768875,0.0
2.226108,1.0856608,122.09759,0.79987603,1.5,37.39679,0.5277555,821490240.0,32.218838,1.0,-0.018888043239712715,0.1656603217124939,0.0
1.9514079,1.841584,169.66295,0.94812524,1.5,6.117763,0.9240883,1565273000.0,78.39177,1.0,0.43090197443962097,0.0,0.0
1.5938352,1.5161285,166.89372,0.44661584,0.5803158,45.419483,0.6160863,715274750.0,51.41047,1.0,0.43010661005973816,0.0,0.0
0.9294718,1.5802327,128.27078,0.6571114,0.60167575,4.0057507,0.32833087,298916930.0,21.057629,1.0,0.22655992209911346,0.0,0.05964060127735138
2.8008153,0.74708694,160.14957,0.53096384,0.7141353,23.417555,0.5222513,549842500.0,41.81916,1.0,-0.7720712423324585,0.47546350955963135,0.0
1.4729544,1.9799548,162.08376,0.7387076,1.2851762,24.708097,0.7323982,1060654000.0,59.354927,1.0,0.33094149827957153,0.0,0.04985957592725754
