cs_br_concentration,pb_br2_concentration,temperature,oa_concentration,oam_concentration,reaction_time,solvent_type,bandgap,plqy,emission_peak,particle_size,emission_fwhm,lifetime,stability_score,phase_purity
1.1457305186088653,1.5619342389118163,202.85283224967807,0.7849448165115527,0.33744222817032515,50.97700760857485,3,2.444,0.604,497.9,13.5,32.5,10.6,0.831,0.974
2.1781296888398716,1.750976969734118,210.13240702099495,1.1808294096592116,0.894666391726356,43.16332416944908,0,2.417,0.603,512.0,17.5,28.2,11.6,0.812,0.925
1.3963646881627139,0.7970909832628469,196.21755951552285,0.19198582528413893,0.9104183032629058,43.2451087722255,0,2.436,0.292,501.9,12.1,29.8,11.7,0.79,0.891
2.705238029309293,0.3207374787385411,83.63491206830366,0.8873890378139695,1.2824266409037024,37.31094049552428,0,2.141,0.031,577.8,13.8,26.5,7.2,0.858,0.5
1.3545327376175726,0.8548546172250636,145.33966050472878,0.9574420267864587,0.8636194299942257,12.906622055010157,4,2.094,0.41,592.4,13.8,29.9,10.5,0.945,0.938
0.6303962156980958,1.5810825008697011,158.46002354638006,0.613031148968917,0.34120175948520126,1.4349939842043824,4,2.393,0.361,517.9,13.0,25.5,8.6,0.947,0.807
2.369847605033005,1.471435040390761,101.08104574125437,0.8337610865498533,0.41275601883046537,13.462155712990716,3,2.041,0.378,604.2,10.1,29.8,5.1,0.924,0.879
1.554092843064224,0.19436495117529412,216.15859499666666,0.8580303542186937,0.9818527093863012,35.858863907836266,3,2.427,0.0,502.7,16.8,26.0,11.4,0.903,0.5
2.940418713408593,0.5487503857215075,234.03724809339806,0.7757435330826437,0.3480661963966237,35.22168380171699,3,2.531,0.0,490.0,13.1,28.3,8.3,0.782,0.5
1.9735711277375512,1.9479654528063044,159.52710040533213,0.19372966121687613,0.2338808444166402,2.764613323180029,1,2.337,0.738,530.1,11.3,32.6,7.9,0.927,1.0
